Āfrika	Africa
Tundžajs Šanli	Tuncay Şanlı
Henrijs Besemers	Henry Bessemer
Harolds Šipmens	Harold Shipman
Eltons Brends	Elton Brand
Bjarne Rīss	Bjarne Riis
Aloīzijs Gonzaga	Luigi Gonzaga
Pāvels Suhojs	Pavel Osipovič Suchoj
Pols Anrī Matjē	Paul-Henri Mathieu
Greiems Sauness	Graeme Souness
Hoseba Ečeverija	Joseba Etxeberria
Coolio	Coolio
Joans Kapistrāno	Giovanni da Capestrano
Džons Kraiers	Jon Cryer
Fredijs Adu	Freddy Adu
Džons Ērvings	John Irving
Kriss Hojs	Chris Hoy
Siļķu karalis	Regalecus glesne
Džeralds Darels	Gerald Durrell
Karloss Būzers	Carlos Boozer
Roberts Kožeņovskis	Robert Korzeniowski
Irvings Saladino	Irving Saladino
Kārlis Knutsons	Carlo VIII di Svezia
Atlantijas laši	Salmo (zoologia)
Džordžs Fokss	George Fox
Ville Ritola	Ville Ritola
Džordžs Grejs	George Robert Gray
Svīres	Apus (zoologia)
Nouveau	Nouveau
Vtiger CRM	Vtiger CRM
Emotive	EMOTIVe
Ag2r-La Mondiale	AG2R La Mondiale (ciclismo)
Enteogēni	Enteogeno
Vilhelms fon Tegethofs	Wilhelm von Tegetthoff
Lanxess Arena	Lanxess Arena
Huans Karloss Navarro	Juan Carlos Navarro
Deivids Kuks	David Cook (cantante)
Ignācijs Moscickis	Ignacy Mościcki
Moše Sanbars	Moshe Sanbar
Hirša indekss	Indice H
PhpPgAdmin	PhpPgAdmin
Oglekļa pēdas nospiedums	Carbon footprint
Čons Tese	Jong Tae-Se
Bakhilīds	Bacchilide
Āzijas ziloņi	Elephas
Floridas alu lācis	Tremarctos floridanus
Karls Pīrsons	Karl Pearson
Džons Džejs	John Jay
Gārņi	Ardea (zoologia)
Leonīds Andrejevs	Leonid Nikolaevič Andreev
Gaigalas	Bucephala
Jurijs Ņikuļins	Jurij Vladimirovič Nikulin
Niko Pirosmani	Niko Pirosmani
Thiķ Ņat Haņs	Thích Nhất Hạnh
Freedesktop.org	Freedesktop.org
Zaļās dzilnas	Picus
Pīters Dinklidžs	Peter Dinklage
Alonzo Mournings	Alonzo Mourning
Malgaši	Popoli del Madagascar
Svētais Simeons Stilīts	Simeone Stilita il Vecchio
Diks Fosberijs	Dick Fosbury
Stīvs Maklarens	Steve McClaren
Boriss Berezovskis	Boris Abramovič Berezovskij
Andrea Pizāno	Andrea Pisano
Jurijs Jehanurovs	Jurij Jechanurov
Nebīls El Zhars	Nabil El Zhar
Džerijs Vests	Jerry West
Čeņs Guančens	Chen Guangcheng
Šverīnes ezers	Lago di Schwerin
Eurolot	Eurolot
Sīļi	Garrulus
Pavļiks Morozovs	Pavlik Trofimovič Morozov
Sidnijs Krosbijs	Sidney Crosby
Lūcijs Akcijs	Lucio Accio
Ēriks Heidens	Eric Heiden
Jaropolks Svjatoslavičs	Jaropolk I di Kiev
Džons Konelijs	John Connally
Kims Kolinss	Kim Collins
Kolins Džeksons	Colin Jackson
Rafaels Kaldera	Rafael Caldera
Tomass Gravesens	Thomas Gravesen
Haness Kolehmainens	Hannes Kolehmainen
Davids Ngogs	David N'Gog
Stefans Holms	Stefan Holm
Aleksandrs Ovečkins	Aleksandr Ovečkin
Robs Rensenbrinks	Rob Rensenbrink
Teofilo Kubiljass	Teófilo Cubillas
Ihors Belanovs	Ihor Bjelanov
Dominiks Vilkinss	Dominique Wilkins
Eižens fon Bēms-Baverks	Eugen von Böhm-Bawerk
Maiks Bibijs	Mike Bibby
Endrū Boguts	Andrew Bogut
Ēriks Džonsons (mūziķis)	Eric Johnson
Fatoss Nano	Fatos Nano
Toms Dīss	Tom Dice
Meinards Džeimss Kīnans	Maynard James Keenan
Napoleons Hills	Napoleon Hill
Gistavs Šarpentjē	Gustave Charpentier
Edlejs Stīvensons	Adlai Ewing Stevenson II
Elens Džonsons	Allen Johnson
Žoakims Noā	Joakim Noah
Semjuels Reševskis	Samuel Reshevsky
Čārlzs Teilors (filosofs)	Charles Taylor (filosofo)
Ksi daļiņa	Barione Xi
Rims Kurtinaitis	Rimas Kurtinaitis
Benijs Benasi	Benny Benassi
Šons Merions	Shawn Marion
Grants Hills	Grant Hill
Ivica Kosteličs	Ivica Kostelić
Mākslīgais zāliens	Erba sintetica
Mazais lācis	Ursus minimus
Danjels Pačeko	Daniel Pacheco
Šļahta	Szlachta
Aleksis Ciprs	Alexīs Tsipras
Ivans Biļibins	Ivan Jakovlevič Bilibin
Eliels Sārinens	Eliel Saarinen
STS-116	STS-116
Īrijas staltbriedis	Megaloceros giganteus
Svētais Kazimirs	Casimiro di Cracovia
Vinss Klārks	Vince Clarke
Gubina (pilsēta)	Gubin
Fjodors Apraksins	Fëdor Matveevič Apraksin
Labiāli velārs līdzskanis	Consonante labiovelare
Aleksejs Antonovs	Aleksej Innokent'evič Antonov
Meirs Lanskis	Meyer Lansky
Edvards Gereks	Edward Gierek
Buea	Buéa
Hugo Gernsbeks	Hugo Gernsback
Toms Gērelss	Tom Gehrels
Mazie gārņi	Egretta
Tomass Feklers	Thomas Voeckler
Deniss Meņšovs	Denis Men'šov
Džordžs Elerijs Heils	George Ellery Hale
Vinčenco Nibali	Vincenzo Nibali
Aleksandrs Kaljostro	Cagliostro
Ernests Šosons	Ernest Chausson
Mets Smits	Matt Smith (attore)
Andress Opers	Andres Oper
Džons Ņūkombs	John Newcombe
Utilītprogramma	Utilità (informatica)
Viktors Šklovskis	Viktor Borisovič Šklovskij
Andrijans Nikolajevs	Andrijan Grigor'evič Nikolaev
Mihaels fon der Heide	Michael von der Heide
Tēvijas Kara ordenis	Ordine della Guerra patriottica
Boriss Šeremetjevs	Boris Petrovič Šeremetev
Viljams Stenlijs Dževonss	William Stanley Jevons
Mahešs Bupati	Mahesh Bhupathi
Berlīnes Valsts opera	Staatsoper Unter den Linden
Alesandro Petaki	Alessandro Petacchi
Petrs Kristus	Petrus Christus
Staņislavs Vispjaņskis	Stanisław Wyspiański
Franko Alfāno	Franco Alfano
Marians Hosa	Marián Hossa
Bobs Kouzijs	Bob Cousy
Ēriks Holders	Eric Holder
Boriss Šahļins	Boris Šachlin
Džeisons Terijs	Jason Terry
Deivids Hejs	David Haye
Rūdijs Fernandess	Rudy Fernández
Bernards Lagats	Bernard Lagat
Josts van den Vondels	Joost van den Vondel
Lāslo Bīro	László Bíró
Savao Kato	Sawao Kato
Dominiks Hašeks	Dominik Hašek
Gregs Lemons	Greg LeMond
Josefs Suks	Josef Suk
Sarkanais Mākonis	Nuvola Rossa
Ērvings Fišers	Irving Fisher
Riāzs Ahmeds Gohars Šāhī	Riaz Ahmed Gohar Shahi
Fredži	Frederico Chaves Guedes
Frensiss Obikvelu	Francis Obikwelu
Nikolajs Mjaskovskis	Nikolaj Jakovlevič Mjaskovskij
Stefans Peteransels	Stéphane Peterhansel
Frenks Māršals	Frank James Marshall
Ežēns Antoniadi	Eugène Michel Antoniadi
Gordons Kūpers	LeRoy Gordon Cooper
Čārlzs Raits Mills	Charles Wright Mills
Denjels Inoue	Daniel Inouye
Janiks Aņēls	Yannick Agnel
Juhans Partss	Juhan Parts
Dāvids Bronšteins	David Ionovič Bronštejn
Aleksandrs Morozevičs	Aleksandr Sergeevič Morozevič
Otokārs I Pšemisls	Ottocaro I di Boemia
Viljams Volastons	William Hyde Wollaston
Rihards Rēti	Richard Réti
Deivids Lodžs	David Lodge (scrittore)
Deivids Makellums	David McCallum
Žans Antelms Brijā-Savarēns	Anthelme Brillat-Savarin
Klements Adērs	Clément Ader
Team Gerolsteiner	Team Gerolsteiner
Britāniks	Tiberio Claudio Cesare Britannico
Mažeiķu rajona pašvaldība	Comune distrettuale di Mažeikiai
Vedella ronis	Leptonychotes weddellii
Jēkabs Ketlers	Giacomo Kettler
Albertu Santušs-Dimons	Alberto Santos-Dumont
Pjotrs Naļičs	Peter Nalitch
Falēras Dēmetrijs	Demetrio Falereo
Hu Dzja	Hu Jia
Anguss Džonss	Angus T. Jones
Aleksejs Romanovs	Aleksej Petrovič Romanov
Vladislavs Ardzinba	Vladislav Ardzinba
Fahri Koruturks	Fahri Korutürk
Jakobs Kūns	Jakob Kuhn
Džo Olivers	King Oliver
Taio Kruss	Taio Cruz
Džo Perijs	Joe Perry (musicista)
Aļģirds Greims	Algirdas Julien Greimas
Krasimirs Balakovs	Krasimir Balăkov
Toms Breidijs	Tom Brady
Džonijs Reps	Johnny Rep
Džeisons Lezaks	Jason Lezak
Miko Hirvonens	Mikko Hirvonen
Gilberts Rails	Gilbert Ryle
Didjē Oriols	Didier Auriol
Džona Hills	Jonah Hill
Seržs Ibaka	Serge Ibaka
Aleksandrs Džeimss Maklīns	Alexander James McLean
Ūlofs Klēpja karalis	Olof III di Svezia
Buvaisars Saitijevs	Buvajsar Sajtiev
Jans Lukasevičs	Jan Łukasiewicz
Vladimirs Props	Vladimir Jakovlevič Propp
Ērls Boikinss	Earl Boykins
Manute Bols	Manute Bol
Dikembe Mutombo	Dikembe Mutombo
Brendons Rojs	Brandon Roy
Beirons Deiviss	Baron Davis
Gregs Odens	Greg Oden
Maikls Reds	Michael Redd
Gābors Betlens	Gabriele Bethlen
Džermeins O'Nīls	Jermaine O'Neal
Ričards Hamiltons	Richard Hamilton (cestista)
Šarls Garnjē	Charles Garnier
Keisijs Stouners	Casey Stoner
Danjels Dihess	Daniel Diges
Abels Ganss	Abel Gance
Vensāns d'Endī	Vincent d'Indy
Donalds Bredmens	Donald Bradman
Kirsans Iļumžinovs	Kirsan Nikolaevič Iljumžinov
Dejans Bodoriga	Dejan Bodiroga
Georgijs Čičerins	Georgij Vasil'evič Čičerin
Kristians Ulsons	Christian Olsson
Gatunas ezers	Lago Gatún
Žoržs Sorels	Georges Sorel
Sonijs Listons	Sonny Liston
Luijs Rīels	Louis Riel
Feidipīds	Fidippide
Vasilijs Grosmans	Vasilij Semënovič Grossman
Naidžels Šorts	Nigel Short
Dīns Keins	Dean Cain
Džordžs Viljers, Pirmais hercogs Bekingems	George Villiers, I duca di Buckingham
Hoakims Rodrigess	Joaquim Rodríguez
Georgios Roubanis	Georgios Roubanis
Fromentāls Alevī	Fromental Halévy
Braiens Litrels	Brian Littrell
Šeihs Muszafars Šukors	Sheikh Muszaphar Shukor
Dani Pedrosa	Daniel Pedrosa
Oļegs Jankovskis	Oleg Ivanovič Jankovskij
Luiss Skola	Luis Scola
Ims Tonhjons	Im Dong-hyun
Ramšteinas katastrofa	Incidente di Ramstein
Dmitrijs Kolduns	Dmitry Koldun
Toms Rīgens	Tom Regan
Arnolds Benets	Arnold Bennett
Džordžs Mikans	George Mikan
Anrī de Bajē-Latūrs	Henri de Baillet-Latour
Marks Dakaskoss	Mark Dacascos
Staņislavs Konarskis	Stanislao Konarski
Staņislavs Šuškevičs	Stanislaŭ Šuškevič
Deivids Rasels	David O. Russell
Brendons Dženingss	Brandon Jennings
Kērks Hainrihs	Kirk Hinrich
Kriss Vebers	Chris Webber
Stīvens Beksters	Stephen Baxter
Etore Bugati	Ettore Bugatti
Džeisons Bigss	Jason Biggs
Marks Sallings	Mark Salling
Kevins Makheils (1988)	Kevin McHale (attore)
Milošs Teodosičs	Miloš Teodosić
Jevgeņijs Malkins	Evgenij Malkin
Bobs Peislijs	Bob Paisley
Paulu Souza	Paulo Sousa
Magnuss IV	Magnus IV di Svezia
Harolds Lasvels	Harold Lasswell
Džeimss Mejs	James May
Anžs Felikss Patasē	Ange-Félix Patassé
Aleksandrs Griščuks	Aleksandr Igorevič Griščuk
Donalds Tomass	Donald Thomas
Roberts Perišs	Robert Parish
Dereks Fišers	Derek Fisher
Berijs Bondss	Barry Bonds
Hals Holbruks	Hal Holbrook
Filips de Šampēņs	Philippe de Champaigne
Endrū Bainams	Andrew Bynum
Henrijs Stimsons	Henry L. Stimson
Ričards Grifitss	Richard Griffiths
Jože Plečniks	Jože Plečnik
Donalds Plezenss	Donald Pleasence
Longs	Longo Sofista
Pontiaks	Capo Pontiac
Džonatans Litels	Jonathan Littell
Ēmils Hegle Svensens	Emil Hegle Svendsen
Aleksandrs Edmonds Bekerels	Alexandre Edmond Becquerel
Kārlis VII	Carlo VII di Svezia
Neits Robinsons	Nate Robinson
Gata Kamskis	Gata Kamskij
Lao Še	Lao She
Noa Vails	Noah Wyle
Ļudovīts Štūrs	Ľudovít Štúr
Vasilijs Perovs	Vasilij Grigor'evič Perov
Saimons Sebags Montefjore	Simon Sebag Montefiore
Lisjēns Lorēns	Lucien Laurent
Franss Samuts	Frans Sammut
Luiss Monti	Luis Monti
Terijs Īgltons	Terry Eagleton
Frenks Remzijs	Frank Plumpton Ramsey
Stīvens Smeils	Stephen Smale
Pols Penlevē	Paul Painlevé
Žozefs Bertrāns	Joseph Louis François Bertrand
Aldžernons Čārlzs Svinbērns	Algernon Swinburne
Oļegs Deripaska	Oleg Vladimirovič Deripaska
Hairems Maksims	Hiram Stevens Maxim
Juba II	Giuba II
Žoržs Bulanžē	Georges Boulanger
Breds Falčuks	Brad Falchuk
Volfgangs Loicls	Wolfgang Loitzl
Graetz	Graetz (azienda)
Ziemassvētku vecītis	Babbo Natale
Aleksejs Arakčejevs	Aleksej Andreevič Arakseev
Mārtiņš Pļaviņš	Mārtiņš Pļaviņš
Trīspadsmitgadu karš	Guerra dei tredici anni
Džozefs Čemberlens	Joseph Chamberlain
Lielās mammas māja	Big Mama (film)
Hākons IV Vecais	Haakon IV di Norvegia
Tirtajs	Tirteo
Hosē Kalderons	José Calderón
Mimnerms	Mimnermo
Mihājs Čīksentmihāji	Mihály Csíkszentmihályi
Dvaits Filipss	Dwight Phillips
Braiens Klejs	Bryan Clay
Lenijs Vilkenss	Lenny Wilkens
Jans Švankmajers	Jan Švankmajer
Tims Montgomerijs	Tim Montgomery
Nīls Robertsons	Neil Robertson
Mozess Malons	Moses Malone
Pīts Maravičs	Pete Maravich
Īlaijs Menings	Eli Manning
Džo Sakiks	Joe Sakic
Lamarkuss Oldridžs	LaMarcus Aldridge
Fils Džeksons	Phil Jackson
Mario Lemjē	Mario Lemieux
Šarūns Jasikēvičs	Šarūnas Jasikevičius
Andrea Barnjāni	Andrea Bargnani
Darko Miličičs	Darko Miličić
Emeka Okafors	Emeka Okafor
Lins Kleiza	Linas Kleiza
Valerio Fiori	Valerio Fiori
Žozē Marija Esa de Keirošs	José Maria Eça de Queirós
Ersans Iljasova	Ersan İlyasova
Garstilbji	Himantopus
Valērijs Brjusovs	Valerij Jakovlevič Brjusov
Ektors Gimārs	Hector Guimard
Mortons Feldmens	Morton Feldman
Marcins Mroziņskis	Marcin Mroziński
Ultravox	Ultravox
Dmitrijs Bortņanskis	Dmytro Stepanovyč Bortnjans'kyj
Ištvāns Bočkai	István Bocskai
Volters Lipmans	Walter Lippmann
Horhe Garvahosa	Jorge Garbajosa
Viktors Hrjapa	Viktor Chrjapa
Big L	Big L
Lerijs Nivens	Larry Niven
Kohei Učimura	Kōhei Uchimura
Sugar Rejs Robinsons	Sugar Ray Robinson
Damjēns Plesī	Damien Plessis
Nāsirs El Atīja	Nasser Al-Attiyah
Fineass Geidžs	Phineas Gage
Šaušana 2008. gada Vasaras Olimpiskajās spēlēs	Tiro ai Giochi della XXIX Olimpiade
1973. gada naftas krīze	Crisi energetica (1973)
Raiens Mērfijs	Ryan Murphy
Vladislavs Tretjaks	Vladislav Tret'jak
Edi Rama	Edi Rama
Levi Leipheimers	Levi Leipheimer
Damiāno Kunego	Damiano Cunego
Entonijs Deiviss	Anthony Davis (cestista)
Džamīrs Nelsons	Jameer Nelson
International Commerce Centre	International Commerce Centre
Teodors Papalukass	Theodōros Papaloukas
Altmīle	Altmühl
2014. gada FIFA Pasaules kausa kvalifikācija	Qualificazioni al campionato mondiale di calcio 2014
Robijs Makjūens	Robbie McEwen
Bolīds	Bolide
Edward Maya	Edward Maya
Čīvetels Edžiofors	Chiwetel Ejiofor
Kristers Fuglesangs	Christer Fuglesang
Īlons Masks	Elon Musk
Boriss Diavs	Boris Diaw
Džeralds Volless	Gerald Wallace
Andoras Futbola federācija	Federazione calcistica di Andorra
Gožovas apriņķis	Distretto di Gorzów
Krosno apriņķis (Lubušas vojevodiste)	Distretto di Krosno Odrzańskie
Salo Flors	Salo Flohr
Cēzars Baronijs	Cesare Baronio
Mendzižečas apriņķis	Distretto di Międzyrzecz
Nova Solas apriņķis	Distretto di Nowa Sól
Stšelces-Drezdenko apriņķis	Distretto di Strzelce-Drezdenko
Suleņcinas apriņķis	Distretto di Sulęcin
Slubices apriņķis	Distretto di Słubice
Lisjēns Petī-Bretons	Lucien Petit-Breton
Alfredo Binda	Alfredo Binda
Dogens Zendži	Eihei Dōgen
Pilas dzelzceļa depo	Deposito locomotive di Piła
Volejbols 2008. gada Vasaras Olimpiskajās spēlēs	Pallavolo ai Giochi della XXIX Olimpiade
Airēšana 2008. gada Vasaras Olimpiskajās spēlēs	Canottaggio ai Giochi della XXIX Olimpiade
Sinhronā peldēšana 2012. gada Vasaras Olimpiskajās spēlēs	Nuoto sincronizzato ai Giochi della XXX Olimpiade
Smaiļošana un kanoe airēšana 2008. gada Vasaras Olimpiskajās spēlēs	Canoa/kayak ai Giochi della XXIX Olimpiade
Floids Meivezers	Floyd Mayweather Jr.
Paukošana 2008. gada Vasaras Olimpiskajās spēlēs	Scherma ai Giochi della XXIX Olimpiade
Galda teniss 2012. gada Vasaras Olimpiskajās spēlēs	Tennistavolo ai Giochi della XXX Olimpiade
Landser	Landser (gruppo musicale)
Vācijas hokeja izlase	Nazionale di hockey su ghiaccio maschile della Germania
Tankard (grupa)	Tankard
Die Krupps	Die Krupps
Armiju grupa @@@u0026Don"	Heeresgruppe Don
Lenkņica	Łęknica
Čapalas ezers	Lago di Chapala
Reichsarbeitsdienst	Reichsarbeitsdienst
Vshovas apriņķis	Distretto di Wschowa
Zelona Guras apriņķis	Distretto di Zielona Góra
Ūle Bulls	Ole Bull
Krievijas Futbola savienība	Federazione calcistica della Russia
Rietumu konference (NBA)	NBA Western Conference
Svebodzinas apriņķis	Distretto di Świebodzin
Dienvidamerikas kaķi	Leopardus
Žagaņas apriņķis	Distretto di Żagań
VIVA Pasaules kauss	Coppa del mondo VIVA
Eliša Grejs	Elisha Gray
Žaru apriņķis	Distretto di Żary
Vladimirs Arseņjevs	Vladimir Klavdievič Arsen'ev
Brems Koens	Bram Cohen
Drošs sekss	Sesso sicuro
Kims Kirhens	Kim Kirchen
Akiba Rubinšteins	Akiba Rubinstein
Andrē Mažino	André Maginot
Miofibrilla	Miofibrilla
Shenzhou 7	Shenzhou 7
Panamas pilsētu uzskaitījums	Città di Panamá
Radvilišķi	Radviliškis
Kritiskā masa (protesta forma)	Massa critica (evento)
Lidosta (filma)	The Terminal
Ābelsonīts	Abelsonite
Serebro	Serebro
Edijs Īgans	Eddie Eagan
Gonadoliberīns	Ormone di rilascio delle gonadotropine
Vasiļs Kirijenka	Vasil' Kiryenka
Kristiāns Nēmets	Krisztián Németh
Bens Gordons	Ben Gordon
Ēriks Uzvarētājs	Eric il Vittorioso
Maikls Finlijs	Michael Finley
Džonijs Vilkinsons	Jonny Wilkinson
Jānis Lūsis (vieglatlēts)	Jānis Lūsis
Saša Vujačičs	Saša Vujačić
Denijs Grendžers	Danny Granger
Ārčijs Tompsons	Archie Thompson
Džozefs Akaba	Joseph Acaba
Buba Smits	Bubba Smith
Andris Piebalgs	Andris Piebalgs
Grants Hekets	Grant Hackett
Centrāleiropas Brīvās tirdzniecības vienošanās	Accordo centroeuropeo di libero scambio
Bālšemtovs	Ba'al Shem Tov
Hālids Šeihs Muhameds	Khalid Shaykh Muhammad
Tibetas smilšu lapsa	Vulpes ferrilata
Berijs Goldvoters	Barry Goldwater
78. Kinoakadēmijas balva	Premi Oscar 2006
Austrālijas premjerministri	Primo ministro dell'Australia
Piedzīvojumu filma	Film d'avventura
Marks Mesjē	Mark Messier
Ričards Geriots	Richard Garriott
Džošs Smits	Josh Smith
Li Dzunvei	Lee Chong Wei
Rodžers Banisters	Roger Bannister
Mirage F1	Dassault Mirage F1
Džordžs Kailijs	George Cayley
Kentšina	Kętrzyn
Lopnūrs	Lop Nur
SQLite	SQLite
Piecas civilizētās ciltis	Cinque Tribù Civilizzate
Bilgoraja	Biłgoraj
RBMK	Reattore nucleare RBMK
Romas Masters	Internazionali d'Italia
Vladislavs Ļistjevs	Vladislav Nikolaevič List'ev
Indols	Indolo
Varavīksnes lorikets	Trichoglossus haematodus
Nikijs Heidens	Nicky Hayden
Kvintiljons	Trilione
Kriss Frūms	Chris Froome
Zaza Pačulija	Zaza Pachulia
Kristians Mikelsens	Christian Michelsen
Abernatijīts	Abernathyite
Transantarktīdas kalni	Monti Transantartici
Konkurence	Concorrenza (economia)
Luijs B. Maijers	Louis B. Mayer
Aleksandrs Ipsilants	Alessandro Ypsilanti
Ruandas futbola izlase	Nazionale di calcio del Ruanda
Považska Bistrica	Považská Bystrica
Valērijs Brumels	Valerij Brumel'
Halvars Hanevolls	Halvard Hanevold
Jurijs Borzakovskis	Jurij Borzakovskij
Sedlce	Siedlce
Brīvības sala	Liberty Island
Pjērs Savornjāns de Braza	Pietro Savorgnan di Brazzà
Vladimirs Sorokins	Vladimir Georgievič Sorokin
Lukass Modisons	Lukas Moodysson
Aleksandrs Benuā	Aleksandr Nikolaevič Benois
Bukers Vašingtons	Booker T. Washington
Alprazolams	Alprazolam
Antipodi	Punti antipodali (geografia)
Milans Rastislavs Štefāniks	Milan Rastislav Štefánik
Endotoksīni	Endotossina
Ralfs Krīgers	Ralph Krueger
Apolo Nsibambi	Apolo Nsibambi
Pulavi	Puławy
Jops Zūtemelks	Joop Zoetemelk
Karls Šlehters	Carl Schlechter
Vinsents D'Onofrio	Vincent D'Onofrio
Konstantīns Feoktistovs	Konstantin Petrovič Feoktistov
Mēris (romāns)	La peste (romanzo)
Faith No More	Faith No More
Landtāgs	Landtag
Atspiešanās	Flessione (ginnastica)
Dievišķā salvija	Salvia divinorum
Trešās pakāpes tuvie kontakti	Incontri ravvicinati del terzo tipo
Krautroks	Krautrock
Vertikālas pacelšanās un nolaišanās lidmašīna	VTOL
Maikls Moriss	Michael Morris Killanin
Oranžzeltainais krupis	Incilius periglenes
Abhurīts	Abhurite
La Congolaise	La Congolaise
Abija	Abia (Nigeria)
Mi-1	Mil Mi-1
Eņģeļzivis	Pomacanthidae
Tomass Gibsons	Thomas Gibson
Žans Marks Bosmans	Jean-Marc Bosman
Knuts I	Canuto I di Svezia
Jūhans I Sverkersons	Giovanni I di Svezia
Ustka	Ustka
Rentgens	Röntgen (unità di misura)
Nacionālboļševiku partija	Partito Nazional Bolscevico
Pielikums (valodniecība)	Apposizione
Jūras krupis	Rhinella marina
Lāzerdiode	Diodo laser
Cešina	Cieszyn
Reālā laika transportprotokols	Real-time Transport Protocol
Pasaulīgo baudu dārzs	Trittico del Giardino delle delizie
Maikongs	Cerdocyon thous
Likums un kārtība	Law & Order - I due volti della giustizia
Spirālveidīgie	Lophotrochozoa
Abitibi ezers	Lago Abitibi
Napalm Death	Napalm Death
Abja-Paluoja	Abja-Paluoja
Efendi	Effendi
Krēpjaita	Ammotragus lervia
Amerikas cauna	Martes americana
Rīgas pils	Castello di Riga
Azokrāsvielas	Azocomposti
Vidusspēle (šahs)	Mediogioco
Rudens sonāte	Sinfonia d'autunno
Atriebēji (Marvel Comics)	Vendicatori
Krāmera formulas	Regola di Cramer
Nokia Networks	Nokia Networks
Dmitrijs fon Felkerzāms	Dmitrij Gustanovič von Fölkersam
Viljams Kingdons Klifords	William Kingdon Clifford
Igaunijas eiro monētas	Monete euro estoni
22 (nozīmju atdalīšana)	22 (disambigua)
Abrahams Abulafija	Abramo Abulafia
Valka	Valka
Vera Zozuļa	Vera Zozulja
Dzirdes aparāts	Apparecchio acustico
Farmakokinētika	Farmacocinetica
Bišu virsdzimta	Apoidea
Oriona josta	Cintura di Orione
Dziedniecības lakacis	Pulmonaria officinalis
Karneols	Corniola
Dārznieks Villijs	Willie (I Simpson)
Akrilskābe	Acido acrilico
Sutana	Abito talare
Spānijas futbola čempionāta Pirmā divīzija	Primera División (Spagna)
Radzejova	Radziejów
Prošovice	Proszowice
Vombžezno	Wąbrzeźno
Bžezini	Brzeziny (Łódź)
Lipno	Lipno (Cuiavia-Pomerania)
Mehova	Miechów
Limanova	Limanowa
Beruņa	Bieruń
Afro Celt Sound System	Afro Celt Sound System
Aleksandrova Kujavska	Aleksandrów Kujawski
Moriss Rišārs	Maurice Richard
Ripina	Rypin
Goluba-Dobžiņa	Golub-Dobrzyń
Bobslejs 2010. gada Ziemas Olimpiskajās spēlēs	Bob ai XXI Giochi olimpici invernali
